Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0402,2,33p,
"C10, C11, C12, C13, C14, C15, C17, C18, C19, C21, C33, C35, C37, C41, C43, C45, C47, C48, C6, C7, C8, C9",0402,22,100n,
"C16, C23, C3, C32, C34, C36, C38, C4, C40, C42, C44, C5",0402,12,4.7u,
"C20, C22",0603,2,22u,
"C24, C25",0603,2,10u,
"C26, C28",0603,2,680p,
"C29, C30",0603,2,100n,
C31,0402,1,1000p,
C39,0402,1,10u,
C46,0603,1,1500p,
C49,0603,1,2.2u,
C50,0603,1,1000p,
C52,0603,1,1500pf,
C53,0603,1,3p,
C54,0603,1,200p,
"D1, D2, D3, D4, D5, D6",0603,6,LED,
"FB1, FB2, FB3",0603,3,FerriteBead,
J1,USB_C_Receptacle_XKB_U262-16XN-4BVC11,1,USB_C_Receptacle_USB2.0_16P,
"J2, J3",PinHeader_1x20_P2.54mm_Vertical,2,Conn_01x20_Pin,
J4,SMA_BAT_Wireless_BWSMA-KWE-Z001,1,Conn_Coaxial,
"L1, L2, L3",IND-SMD_L2.0-W1.6_AOTA-B201610S3R3-101-T,3,AOTA-B201610S3R3-101-T,C42411119
"L4, L5",IND-SMD_L1.6-W1.0,2,HP0603-R10H-N,C2903685
"R1, R2",0402,2,5.1k,
"R10, R9",0402,2,51k,
R11,0402,1,22k,
"R12, R32",0402,2,100k,
R13,0402,1,120,
"R14, R15, R16, R17, R18, R19, R20, R21, R24, R27, R28",0402,11,100,
"R22, R30, R5, R7",0402,4,1K,
"R25, R31, R8",0402,3,10K,
R26,0402,1,2.2K,
R29,0402,1,53.6,
"R3, R4",0402,2,27,
R6,0402,1,33,
SW1,SW-SMD_L3.9-W3.0-P4.45,1,SW_Push,
"TP1, TP2, TP3, TP4, TP7",TestPoint_Pad_D1.0mm,5,TestPoint_Alt,
U1,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,1,ICE40UP5K-SG48ITR,
"U10, U6",SOT-343-4_L2.0-W1.3-P1.30-LS2.1-BR,2,SPF5189Z,
U2,RP2350A_QFN-60_EP_7.75x7.75_Pitch0.4mm,1,RP2350A-QFN60,
U3,WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4.3mm,1,W25Q128JVP,
U4,WDFN-10_L3.0-W3.0-P0.50-BL-EP,1,RT8075ZQW,C250416
U7,MSOP-8_L3.0-W3.0-P0.65-LS4.9-BL,1,AD8313xRM,
U8,SOP-8_L4.9-W3.9-P1.27-LS6.0-BL,1,TLV3501AID,
"X1, X2",FILTER-SMD_6P-L3.8-W3.8-P1.27-TL-3,2,TA0970B,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24,
