Designator,Mid X,Mid Y,Rotation,Layer
C1,148.83,-76.71,180.0,top
C10,161.47,-69.62,0.0,top
C11,158.533333,-80.97,270.0,top
C12,155.47,-80.97,270.0,top
C13,154.5,-80.97,270.0,top
C14,156.44,-80.97,270.0,top
C15,151.41,-78.41,180.0,top
C16,151.36,-75.4,180.0,top
C17,157.396667,-80.97,270.0,top
C18,157.65,-68.62,90.0,top
C19,170.75,-69.26,180.0,top
C2,150.82,-72.59,270.0,top
C20,168.705,-79.8075,0.0,top
C21,176.2,-75.24,270.0,top
C22,176.96,-68.68,180.0,top
C23,144.3,-66.5,45.0,top
C24,180.355,-68.58,0.0,top
C25,147.22,-51.23,90.0,top
C26,149.6,-55.695,180.0,top
C28,144.72,-51.43,90.0,top
C29,133.15,-60.97,270.0,top
C3,160.95,-79.99,180.0,top
C30,139.945,-61.89,270.0,top
C31,162.53,-57.1,0.0,top
C32,135.8,-68.08,90.0,top
C33,134.8,-68.1,90.0,top
C34,148.82,-66.9,0.0,top
C35,150.82,-66.9,0.0,top
C36,134.7,-70.28,90.0,top
C37,133.7,-70.28,90.0,top
C38,149.39,-63.71,0.0,top
C39,149.36,-62.69,0.0,top
C4,165.83,-80.1,90.0,top
C40,133.7,-72.9,270.0,top
C41,134.4,-74.8,270.0,top
C42,135.08,-79.8,180.0,top
C43,134.3,-80.9,180.0,top
C44,146.5,-61.86,90.0,top
C45,147.72,-61.84,270.0,top
C46,161.16,-52.925,0.0,top
C47,147.26,-57.86,0.0,top
C48,144.52,-53.53,180.0,top
C49,134.815,-60.73,90.0,top
C5,164.83,-79.07,270.0,top
C50,175.74,-58.4,0.0,top
C52,168.23,-51.255,90.0,top
C53,138.955,-54.25,180.0,top
C54,137.985,-59.54,90.0,top
C6,168.28,-75.88,180.0,top
C7,162.71,-74.99,0.0,top
C8,159.49,-80.97,270.0,top
C9,155.88,-68.63,90.0,top
D1,146.335,-80.42,0.0,top
D2,146.335,-81.89,0.0,top
D3,141.4175,-81.89,0.0,top
D4,141.4175,-80.42,0.0,top
D5,150.2025,-79.97,0.0,top
D6,150.2,-81.5,0.0,top
FB1,148.84,-51.235,270.0,top
FB2,169.83,-51.2725,270.0,top
FB3,161.1525,-54.545,180.0,top
J1,182.925,-74.8,90.0,top
J2,160.13,-65.2,90.0,bottom
J3,159.805,-83.71,90.0,bottom
J4,181.5,-58.4,270.0,top
L1,163.125,-78.31,90.0,top
L2,173.57,-69.26,0.0,top
L3,173.66,-75.475,0.0,top
L4,169.95,-54.47,90.0,top
L5,158.04,-54.595,0.0,top
R1,183.61,-81.07,0.0,top
R10,170.81,-73.71,90.0,top
R11,176.46,-70.89,270.0,top
R12,176.52,-73.09,270.0,top
R13,135.71,-70.0,90.0,top
R14,135.61,-76.11,270.0,top
R15,135.2,-78.41,270.0,top
R16,143.86,-81.89,0.0,top
R17,143.89,-80.42,0.0,top
R18,138.9525,-81.89,0.0,top
R19,138.9375,-80.42,0.0,top
R2,183.57,-68.46,0.0,top
R20,152.66,-81.5,0.0,top
R21,152.65,-79.97,0.0,top
R22,140.27,-56.92,270.0,top
R24,145.48,-62.79,270.0,top
R25,161.8,-66.8,180.0,top
R26,154.4,-69.2,180.0,top
R27,143.3,-52.105,90.0,top
R28,146.76,-59.295,270.0,top
R29,147.49,-53.18,180.0,top
R3,165.81,-76.55,0.0,top
R30,138.505,-55.62,0.0,top
R31,138.43,-57.19,0.0,top
R32,139.88,-59.31,270.0,top
R4,165.81,-77.55,0.0,top
R5,151.35,-74.41,0.0,top
R6,164.38,-80.57,180.0,top
R7,178.24,-81.12,180.0,top
R8,138.055,-61.7,180.0,top
R9,170.81,-71.0,90.0,top
SW1,173.96,-79.81,0.0,top
U1,140.9275,-74.65,180.0,top
U10,172.71,-57.75,180.0,top
U2,157.085,-74.81,270.0,top
U3,166.885,-71.96,270.0,top
U4,173.59,-72.36,270.0,top
U6,159.76,-56.465,180.0,top
U7,144.62,-55.425,0.0,top
U8,133.37,-56.4,0.0,top
X1,153.9075,-55.725,180.0,top
X2,166.1075,-57.09,180.0,top
Y1,148.51,-74.01,270.0,top
